date,us_10y_yield,us_inflation_yoy,usd_cop,usd_pen,usd_mxn,usd_clp,market_factor,risk_regime
2025-08-01,4.353,3.0,4090.92,3.7233,18.713,936.21,-0.009135152716885643,Normal
2025-08-04,4.361,,4081.81,3.7161,18.6971,935.77,-0.008385906964083813,Normal
2025-08-05,4.359,,4104.49,3.7191,18.6613,939.17,-0.017634714902447658,Normal
2025-08-06,4.359,,4116.27,3.7132,18.6902,938.5,0.0016215729271396471,Normal
2025-08-07,4.354,,4120.66,3.7108,18.7558,937.18,-0.0010704920974591342,Normal
2025-08-08,4.359,,4117.98,3.7154,18.6672,942.03,-0.00458354250278666,Normal
2025-08-11,4.35,,4103.57,3.7161,18.6467,943.06,0.008297216997311323,Normal
2025-08-12,4.348,,4102.81,3.7223,18.5713,945.65,-0.0027267993935177455,Normal
2025-08-13,4.354,,4085.69,3.7242,18.507,952.3,0.014536484113208827,Normal
2025-08-14,4.36,,4100.73,3.7266,18.4356,952.36,0.0055575763528229565,Normal
2025-08-15,4.363,,4120.71,3.7347,18.4945,953.81,-0.011616901185039911,Normal
2025-08-18,4.359,,4120.25,3.7316,18.5051,952.66,-0.0007270838091885208,Normal
2025-08-19,4.36,,4100.73,3.736,18.556,956.2,0.0052558324058487715,Normal
2025-08-20,4.359,,4097.75,3.7319,18.6221,956.77,0.0041638068662829065,Normal
2025-08-21,4.363,,4107.85,3.7264,18.523,959.49,0.011462528048309663,Normal
2025-08-22,4.364,,4114.94,3.7191,18.5597,953.35,0.003125214235421066,Normal
2025-08-25,4.361,,4112.39,3.7229,18.5467,952.15,0.013800042934779428,Normal
2025-08-26,4.367,,4115.49,3.7365,18.4863,957.14,0.0025766936433982376,Normal
2025-08-27,4.367,,4109.36,3.7426,18.5868,956.84,-0.00020638319197421846,Normal
2025-08-28,4.359,,4099.86,3.7533,18.566,952.61,-0.002047460283317254,Normal
2025-08-29,4.358,,4107.45,3.7473,18.5322,951.98,0.0025667417376033516,Normal
2025-09-01,4.366,2.97,4086.03,3.7413,18.5356,949.07,-0.008935203328379158,Normal
2025-09-02,4.371,,4072.14,3.7406,18.5456,950.96,-0.0005831081910317752,Normal
2025-09-03,4.367,,4053.03,3.755,18.5241,948.94,0.010811221971214115,Normal
2025-09-04,4.366,,4057.53,3.7667,18.4591,949.69,-0.007650790547058596,Normal
2025-09-05,4.364,,4068.9,3.7667,18.462,951.77,0.0027515678024182424,Normal
2025-09-08,4.366,,4075.12,3.7649,18.4471,949.21,0.01437228687535078,Normal
2025-09-09,4.368,,4076.58,3.7675,18.457,952.85,-0.006312645521521994,Normal
2025-09-10,4.363,,4109.6,3.7752,18.4954,951.54,0.003013104006338675,Normal
2025-09-11,4.367,,4113.14,3.7791,18.534,954.39,-0.0018985589824158451,Normal
2025-09-12,4.363,,4093.94,3.791,18.5382,953.45,0.019391854486618818,Normal
2025-09-15,4.373,,4090.64,3.7972,18.526,952.29,0.013514523818746524,Normal
2025-09-16,4.374,,4089.66,3.817,18.5668,949.78,-0.004284456111189345,Normal
2025-09-17,4.374,,4099.14,3.8213,18.5427,954.53,0.004751720432310535,Normal
2025-09-18,4.367,,4079.24,3.8083,18.6026,956.84,0.023698873240614506,Normal
2025-09-19,4.376,,4090.6,3.8063,18.5359,952.39,0.013988364966718965,Normal
2025-09-22,4.378,,4111.06,3.8125,18.5801,949.96,0.0026067461410435554,Normal
2025-09-23,4.379,,4097.69,3.8225,18.614,952.99,-0.002076827091489177,Normal
2025-09-24,4.38,,4085.78,3.8268,18.5982,957.43,0.009122963882270933,Normal
2025-09-25,4.384,,4055.72,3.8154,18.5096,954.77,-0.010417688003415162,Normal
2025-09-26,4.373,,4068.11,3.8137,18.4803,953.02,-0.013346915316603031,Normal
2025-09-29,4.38,,4102.92,3.8079,18.4689,954.29,-0.008450449155981917,Normal
2025-09-30,4.391,,4105.45,3.8086,18.4518,957.44,-0.0020343439039528692,Normal
2025-10-01,4.394,2.96,4099.41,3.8112,18.4677,954.9,0.010812081452106867,Normal
2025-10-02,4.381,,4073.44,3.8163,18.4483,951.35,0.00680774441995156,Normal
2025-10-03,4.386,,4070.83,3.8074,18.3865,953.47,0.006337518015940036,Normal
2025-10-06,4.389,,4090.49,3.8014,18.4323,953.03,-0.006860756476476726,Normal
2025-10-07,4.395,,4088.93,3.8025,18.4786,953.84,0.009695150593959055,Normal
2025-10-08,4.401,,4084.92,3.8095,18.4509,957.27,-0.01235733061529642,Normal
2025-10-09,4.402,,4080.87,3.8065,18.4483,951.68,0.009534087613958088,Normal
2025-10-10,4.394,,4059.94,3.809,18.3965,952.26,-0.008759484589872009,Normal
2025-10-13,4.39,,4019.85,3.7945,18.3963,954.15,0.010755477522814421,Normal
2025-10-14,4.386,,4029.91,3.7917,18.4105,951.52,0.01672390422020813,Normal
2025-10-15,4.376,,4030.38,3.7869,18.4116,949.43,0.00043066636306258056,Normal
2025-10-16,4.375,,4012.59,3.7843,18.3732,950.46,0.0006038996067750896,Normal
2025-10-17,4.372,,4004.54,3.7776,18.2793,952.49,0.012293628730067589,Normal
2025-10-20,4.375,,4014.69,3.7799,18.3033,955.03,-0.012089926469414763,Normal
2025-10-21,4.378,,4033.73,3.7688,18.2706,950.48,-0.0016641080713728587,Normal
2025-10-22,4.378,,4034.1,3.7743,18.2393,950.53,-0.004486906341767158,Normal
2025-10-23,4.376,,4032.91,3.7757,18.2436,954.1,0.019972999745166156,Normal
2025-10-24,4.366,,4002.6,3.781,18.3034,950.23,0.010467026461515925,Normal
2025-10-27,4.363,,3969.15,3.7794,18.3824,947.24,-0.007350577947163264,Normal
2025-10-28,4.359,,3960.85,3.7832,18.3611,941.43,-0.004062329268074593,Normal
